"id","name","longitude","latitude","tot_pop"
"01","Andaluc�a",-4.5,54,8446899
"02","Arag�n",-0.665188363252903,4,1326261
"03","Principado de Asturias",-5.99327675127265,43.2937220828477,1009022
"04","Islas Baleares",2.90480293180095,39.5736869066881,1173008
"05","Islas Canarias",-15.6703443955745,28.3501719765776,2172944
"06","Cantabria",-4.03212552496074,43.1971511768274,584507
"07","Castilla y Le�n",-4.78484344919995,41.7521468123472,2378080
"08","Castilla-La Mancha",-3.00638893532113,39.577577660364,2048363
"09","Catalu�a",1.5243542306751,41.797427299488,7762848
"10","Comunidad Valenciana",-0.557814181118517,39.3950044279987,5055954
